business_name,segment,city,address,phone,website,yelp_url,yelp_rating,yelp_review_count,google_rating,google_review_count,years_in_business,owner_name,email,social_media,source,status,notes
"Master Plumbing Solutions",plumbing,Wellington,"260 Hillspire Dr, Windsor, CO 80550, USA","","","",,,5.0,185,"","","","",google_places,untouched,""
"Master Plumbing Solutions",plumbing,Severance,"260 Hillspire Dr, Windsor, CO 80550, USA","","","",,,5.0,185,"","","","",google_places,untouched,""
"Master Plumbing Solutions",plumbing,Timnath,"260 Hillspire Dr, Windsor, CO 80550, USA","","","",,,5.0,185,"","","","",google_places,untouched,""
"Master Plumbing Solutions",plumbing,Johnstown,"260 Hillspire Dr, Windsor, CO 80550, USA","","","",,,5.0,185,"","","","",google_places,untouched,""
"Cerus Fitness",gym,Frederick,"3771 Monarch St Unit F&G, Frederick, CO 80516, USA","","","",,,5.0,184,"","","","",google_places,untouched,""
"Carly Mayer - Realtor | Compass Boulder | Longmont","real estate agent",Longmont,"1470 Walnut St Suite 201, Boulder, CO 80302, USA","","","",,,5.0,177,"","","","",google_places,untouched,""
"NOCO Carpet Cleaning LLC","cleaning service",Johnstown,"331 S Rachel Ave, Milliken, CO 80543, USA","","","",,,5.0,166,"","","","",google_places,untouched,""
"NOCO Carpet Cleaning LLC","cleaning service",Milliken,"331 S Rachel Ave, Milliken, CO 80543, USA","","","",,,5.0,166,"","","","",google_places,untouched,""
"LawnTender - Organic Lawn & Sprinkler Services",irrigation,Loveland,"3452 Butternut Dr, Loveland, CO 80538, USA","","","",,,5.0,165,"","","","",google_places,untouched,""
"LawnTender - Organic Lawn & Sprinkler Services",irrigation,"Estes Park","3452 Butternut Dr, Loveland, CO 80538, USA","","","",,,5.0,165,"","","","",google_places,untouched,""
"The Mullenberg Team, eXp Realty Northern Colorado","real estate agent","Fort Collins","500 S Whitcomb St, Fort Collins, CO 80521, USA","","","",,,5.0,162,"","","","",google_places,untouched,""
"Gearworks Automotive LLC","auto repair",Loveland,"546 8th St SE A3, Loveland, CO 80537, USA","","","",,,5.0,157,"","","","",google_places,untouched,""
"My Family Roofer",roofing,Loveland,"2530 Abarr Dr #120a, Loveland, CO 80538, USA","","","",,,5.0,156,"","","","",google_places,untouched,""
"NOCO Repair","general contractor",Loveland,"1767 Valency Dr, Loveland, CO 80537, USA","","","",,,5.0,156,"","","","",google_places,untouched,""
"My Family Roofer",roofing,Berthoud,"2530 Abarr Dr #120a, Loveland, CO 80538, USA","","","",,,5.0,156,"","","","",google_places,untouched,""
"NOCO Repair","general contractor",Berthoud,"1767 Valency Dr, Loveland, CO 80537, USA","","","",,,5.0,156,"","","","",google_places,untouched,""
"My Family Roofer",roofing,Johnstown,"2530 Abarr Dr #120a, Loveland, CO 80538, USA","","","",,,5.0,156,"","","","",google_places,untouched,""
"My Family Roofer",roofing,Mead,"2530 Abarr Dr #120a, Loveland, CO 80538, USA","","","",,,5.0,156,"","","","",google_places,untouched,""
"My Family Roofer",roofing,Firestone,"2530 Abarr Dr #120a, Loveland, CO 80538, USA","","","",,,5.0,156,"","","","",google_places,untouched,""
"The Gym at Prospect",gym,Longmont,"2030 Ionosphere St Unit C, Longmont, CO 80504, USA","","","",,,5.0,154,"","","","",google_places,untouched,""
"The Gym at Prospect",gym,Frederick,"2030 Ionosphere St Unit C, Longmont, CO 80504, USA","","","",,,5.0,154,"","","","",google_places,untouched,""
"Pillar Automotive LLC","auto repair",Loveland,"1261 S Cleveland Ave, Loveland, CO 80537, USA","","","",,,5.0,152,"","","","",google_places,untouched,""
"NOCO Energy Solutions",hvac,Wellington,"394 Delozier Dr, Fort Collins, CO 80524, USA","","","",,,5.0,146,"","","","",google_places,untouched,""
"NOCO Energy Solutions",hvac,Timnath,"394 Delozier Dr, Fort Collins, CO 80524, USA","","","",,,5.0,146,"","","","",google_places,untouched,""
"F45 Training Longmont",gym,Longmont,"900 S Hover St D, Longmont, CO 80501, USA","","","",,,5.0,135,"","","","",google_places,untouched,""
"Carbon Valley CrossFit - 24 Hour Gym",gym,Frederick,"7603 Miller Dr A, Longmont, CO 80504, USA","","","",,,5.0,132,"","","","",google_places,untouched,""
"Loveland Window Cleaning Services","cleaning service",Loveland,"1083 Winona Dr, Loveland, CO 80537, USA","","","",,,5.0,130,"","","","",google_places,untouched,""
"UpTown Auto, Inc","auto repair",Loveland,"1625 N Lincoln Ave, Loveland, CO 80538, USA","","","",,,5.0,129,"","","","",google_places,untouched,""
"UpTown Auto, Inc","auto repair",Johnstown,"1625 N Lincoln Ave, Loveland, CO 80538, USA","","","",,,5.0,129,"","","","",google_places,untouched,""
"Kodiak Plumbing Solutions, LLC",plumbing,Longmont,"225 Price Rd #45, Longmont, CO 80504, USA","","","",,,5.0,125,"","","","",google_places,untouched,""
"Kodiak Plumbing Solutions, LLC",plumbing,Mead,"225 Price Rd #45, Longmont, CO 80504, USA","","","",,,5.0,125,"","","","",google_places,untouched,""
"Kodiak Plumbing Solutions, LLC",plumbing,Dacono,"225 Price Rd #45, Longmont, CO 80504, USA","","","",,,5.0,125,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Loveland,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Windsor,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Taylor Home Partners","real estate agent",Windsor,"5568 Carmon Dr, Windsor, CO 80550, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Greeley,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Longmont,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Laporte,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Wellington,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Severance,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Taylor Home Partners","real estate agent",Severance,"5568 Carmon Dr, Windsor, CO 80550, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Timnath,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Taylor Home Partners","real estate agent",Timnath,"5568 Carmon Dr, Windsor, CO 80550, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Berthoud,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Johnstown,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Milliken,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Evans,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Mead,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Firestone,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Frederick,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Elevated Pest Control LLC","pest control",Dacono,"678 Grand Market Ave, Berthoud, CO 80513, USA","","","",,,5.0,123,"","","","",google_places,untouched,""
"Blue Spruce Construction Group",roofing,Firestone,"3129 State Hwy 52, Erie, CO 80516, USA","","","",,,5.0,122,"","","","",google_places,untouched,""
"Blue Spruce Construction Group",roofing,Frederick,"3129 State Hwy 52, Erie, CO 80516, USA","","","",,,5.0,122,"","","","",google_places,untouched,""
"Blue Spruce Construction Group",roofing,Dacono,"3129 State Hwy 52, Erie, CO 80516, USA","","","",,,5.0,122,"","","","",google_places,untouched,""
"Front Range Pest and Wildlife Control","pest control","Fort Collins","301 Callie Ct, Loveland, CO 80537, USA","","","",,,5.0,120,"","","","",google_places,untouched,""
"Front Range Pest and Wildlife Control","pest control",Loveland,"301 Callie Ct, Loveland, CO 80537, USA","","","",,,5.0,120,"","","","",google_places,untouched,""
"Front Range Pest and Wildlife Control","pest control",Greeley,"301 Callie Ct, Loveland, CO 80537, USA","","","",,,5.0,120,"","","","",google_places,untouched,""
"June's Team at Keller Williams Elevate","real estate agent",Greeley,"5628 19th St #1, Greeley, CO 80634, USA","","","",,,5.0,120,"","","","",google_places,untouched,""
"Front Range Pest and Wildlife Control","pest control",Severance,"301 Callie Ct, Loveland, CO 80537, USA","","","",,,5.0,120,"","","","",google_places,untouched,""
